Oakham;United States;42.35287, -72.04535
Onset;United States;41.74177, -70.65781
Plympton;United States;41.95288, -70.81448
Provincetown;United States;42.05295, -70.1864
Sherborn;United States;42.23899, -71.36978
Westborough;United States;42.26954, -71.61618
Winchester;United States;42.45232, -71.137
Yarmouth Port;United States;41.70205, -70.24947
Belfast;United States;44.42591, -69.00642
Belgrade;United States;44.44729, -69.83255
Denmark;United States;43.97035, -70.8034
Hiram;United States;43.87868, -70.8034
Kittery;United States;43.08814, -70.73616
Limestone;United States;46.90866, -67.82585
Mechanic Falls;United States;44.11174, -70.39172
Patten;United States;45.99644, -68.44614
Poland;United States;44.06063, -70.39367
South Berwick;United States;43.23453, -70.8095
Veazie;United States;44.83868, -68.70531
Buena Vista;United States;43.4203, -83.89858
Fennville;United States;42.59392, -86.1017
Grosse Pointe Woods;United States;42.44365, -82.90686
Hudson;United States;41.85505, -84.35384
Novi;United States;42.48059, -83.47549
Roosevelt Park;United States;43.1964, -86.27228
Spring Lake;United States;43.07696, -86.197
Springfield;United States;42.32643, -85.23916
Standish;United States;43.98308, -83.95888
Trenton;United States;42.13949, -83.17826
White Cloud;United States;43.5503, -85.772
Zeeland;United States;42.81252, -86.01865
Ada;United States;47.29969, -96.51535
Appleton;United States;45.19691, -96.01977
Bagley;United States;47.52162, -95.39835
Blaine;United States;45.1608, -93.23495
Branch;United States;45.48524, -92.96188
Brooklyn Park;United States;45.09413, -93.35634
Dassel;United States;45.08163, -94.30693
Eagle Lake;United States;44.16497, -93.88134
Excelsior;United States;44.9033, -93.56635
Hoyt Lakes;United States;47.51965, -92.13851
Lake Elmo;United States;44.9958, -92.87938
Lakefield;United States;43.67746, -95.17166
Minnetrista;United States;44.9383, -93.71774
Northfield;United States;44.4583, -93.1616
Renville;United States;44.78913, -95.21167
Saint Michael;United States;45.20996, -93.66496
Saint Paul;United States;44.94441, -93.09327
Stewartville;United States;43.85552, -92.48851
Maryville;United States;40.3461, -94.87247
Unionville;United States;40.47696, -93.00326
Minnewaukan;United States;48.07139, -99.25236
La Vista;United States;41.18389, -96.03113
Shelton;United States;40.77918, -98.73091
South Sioux City;United States;42.47388, -96.41364
Bedford;United States;42.94647, -71.5159
Derry;United States;42.88064, -71.32729
Enfield;United States;43.64063, -72.14398
Nottingham;United States;43.11453, -71.09978
Pembroke;United States;43.14675, -71.45757
Stratford;United States;44.65505, -71.55564
Bloomingdale;United States;41.00204, -74.32654
Brielle;United States;40.10789, -74.05653
Cedar Glen West;United States;40.04206, -74.29265
Cranford;United States;40.65844, -74.29959
Dayton;United States;40.37261, -74.51015
East Newark;United States;40.74843, -74.16181
Fairview;United States;40.8126, -73.99903
Garfield;United States;40.88149, -74.1132
Mendham;United States;40.77593, -74.60071
Oradell;United States;40.95871, -74.03681
Plainsboro Center;United States;40.33177, -74.5946
South Belmar;United States;40.17095, -74.02736
South Old Bridge;United States;40.40816, -74.35432
Strathmore;United States;40.39594, -74.21348
Alden;United States;42.90006, -78.49197
Arlington;United States;41.69593, -73.8968
Armonk;United States;41.12648, -73.71402
Blue Point;United States;40.74399, -73.03455
Bridgeport;United States;42.9159, -76.75245
Brookhaven;United States;40.77927, -72.91538
Brookville;United States;40.81316, -73.56735
Brownville;United States;44.007, -75.98409
Carmel;United States;41.43009, -73.68013
Chadwicks;United States;43.02785, -75.27155
Chestnut Ridge;United States;41.08426, -74.0557
Crown Heights;United States;41.63732, -73.93792
Gouverneur;United States;44.33673, -75.46299
Greenville;United States;40.99315, -73.81986
Hell's Kitchen;United States;40.76496, -73.9909
Honeoye Falls;United States;42.95229, -77.59028
Lakeview;United States;42.43202, -75.86547
Lincoln Park;United States;41.95065, -73.99403
Marlboro;United States;41.60565, -73.97153
Montour Falls;United States;42.3473, -76.84524
Nedrow;United States;42.97507, -76.14131
Niagara Falls;United States;43.0945, -79.05671
North Hills;United States;40.78093, -73.67652
Northville;United States;43.22563, -74.17208
Peekskill;United States;41.29009, -73.92042
Port Chester;United States;41.00176, -73.66568
Port Morris;United States;40.80149, -73.90958
Poughkeepsie;United States;41.70037, -73.92097
Roslyn Harbor;United States;40.81649, -73.63707
Schenectady;United States;42.81424, -73.93957
Schoharie;United States;42.66591, -74.30958
South Huntington;United States;40.82371, -73.39873
Southport;United States;42.0548, -76.81912
Staten Island;United States;40.56233, -74.13986
University Gardens;United States;40.77732, -73.72263
Viola;United States;41.13648, -74.08236
Wanakah;United States;42.74617, -78.90309
Warwick;United States;41.25648, -74.35988
West End;United States;42.46869, -75.09378
West Henrietta;United States;43.04006, -77.66167
Williamsburg;United States;40.71427, -73.95347
Apple Creek;United States;40.75172, -81.8393
Bellville;United States;40.62006, -82.51072
Columbus Grove;United States;40.9195, -84.05689
Crestline;United States;40.78756, -82.73657
Creston;United States;40.987, -81.89375
Danville;United States;40.44756, -82.26016
Fairview Park;United States;41.44144, -81.8643
Frazeysburg;United States;40.11729, -82.11931
Holgate;United States;41.24894, -84.133
Lorain;United States;41.45282, -82.18237
Lowellville;United States;41.03534, -80.53646
Mentor-on-the-Lake;United States;41.70504, -81.36039
Millbury;United States;41.56616, -83.42465
Mineral Ridge;United States;41.14006, -80.76897
Newburgh Heights;United States;41.45005, -81.66346
North Kingsville;United States;41.90589, -80.69036
Plain City;United States;40.10756, -83.26742
Pleasant Hill;United States;40.05172, -84.34439
Willoughby Hills;United States;41.59838, -81.41845
Annville;United States;40.32954, -76.51524
Arlington Heights;United States;40.99009, -75.21629
